Symbol,Name,Probe_Count,Amplitude_24h,R2_24h,Phase_Hours,Mean_Expression,GSM1982275,GSM1982276,GSM1982277,GSM1982278,GSM1982279,GSM1982280,GSM1982281,GSM1982282
CH25H,cholesterol 25-hydroxylase,1,1.300176,0.964702,20.776739,5.773314,6.268826,6.668215,6.234677,4.528168,4.150319,5.170182,6.603631,6.562495
PLN,phospholamban,1,0.951929,0.949282,17.410801,6.220869,6.012644,6.821137,6.993834,6.453405,5.148738,5.490228,5.876599,6.970364
ARL6IP2,ADP-ribosylation factor-like 6 interacting protein 2,3,0.532888,0.947977,5.836164,6.649405,6.713639,6.421448,6.213120,6.704066,7.102327,7.244211,6.675629,6.120800
FOXN4,Forkhead box N4,3,0.524152,0.942690,5.942748,5.697415,5.803572,5.183017,5.222871,5.836356,6.209311,6.086042,5.861469,5.376681
LILRA2,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2",1,0.272287,0.939517,2.866468,5.840590,5.984398,5.698216,5.642273,5.587242,5.866942,6.113643,6.073037,5.758965
ACCN3,amiloride-sensitive cation channel 3,4,0.317713,0.937559,14.175514,6.502703,6.356031,6.502181,6.779922,6.894116,6.460556,6.222612,6.262732,6.543477
CNTNAP1,contactin associated protein 1,1,0.745091,0.930386,5.362447,7.102559,7.454476,6.564528,6.442897,7.177876,7.696399,7.663109,7.429824,6.391361
MYLIP,myosin regulatory light chain interacting protein,2,0.615776,0.926577,4.795995,6.824333,7.029412,6.402926,6.452160,6.594039,7.224003,7.464554,7.181752,6.245815
CXorf40A,chromosome X open reading frame 40A,2,0.548809,0.923275,5.707693,7.603320,7.716461,7.061385,7.353186,7.507141,8.140994,8.100594,7.813573,7.133228
ZMYND15,"zinc finger, MYND-type containing 15",1,1.403092,0.919240,5.088121,5.762224,5.732006,4.783771,4.386571,5.297523,7.048136,7.373626,6.114508,5.361650
DUSP9,dual specificity phosphatase 9,1,0.430989,0.918920,5.822224,7.204157,7.268112,6.780403,6.780278,7.246013,7.649182,7.596880,7.234195,7.078193
SLC9A7,"Solute carrier family 9 (sodium/hydrogen exchanger), member 7",3,0.617711,0.917602,16.472269,6.586720,6.426810,7.050234,7.002344,6.966123,6.222319,5.778237,6.386082,6.861607
FLJ23191,hypothetical protein FLJ23191,1,0.472171,0.917213,18.710762,6.123917,5.978903,6.528873,6.465777,5.812802,5.728431,5.729830,6.172863,6.573860
DCST2,DC-STAMP domain containing 2,1,1.269785,0.915728,16.105322,5.651810,4.915368,5.956586,6.776201,6.516042,4.878535,4.178761,5.490738,6.502252
MJ-4000-134_238_REVCOMP,,1,0.793287,0.913015,1.686580,6.190339,6.696219,6.127803,5.394398,5.167813,6.323853,6.613188,6.801352,6.398085
NIP,homolog of Drosophila Numb-interacting protein,1,1.048944,0.911750,4.805439,6.028823,6.677938,4.975654,5.093911,5.836085,6.829510,6.793579,6.554420,5.469489
BCR/TCR_TRAJ4,BCR/TCR^TRAJ4||F||M94081||1||T_0,1,0.580157,0.911656,15.098496,6.580168,6.204929,6.828304,7.169099,6.828504,6.634777,6.031503,6.044003,6.900228
PLEKHO1,"pleckstrin homology domain containing, family O member 1",2,0.374656,0.909761,2.339079,7.014105,7.291042,6.895327,6.569586,6.647454,7.129035,7.210318,7.294929,7.075146
GPC5,glypican 5,2,0.667230,0.907154,15.799985,5.629261,5.314744,6.163202,6.170100,6.148883,5.192118,5.089807,5.128418,5.826817
C6orf208,chromosome 6 open reading frame 208,1,0.695203,0.906497,18.287412,6.639850,6.441425,7.399998,6.938497,6.565411,5.868808,6.165601,6.460212,7.278849
PTTG1,Pituitary tumor-transforming 1,2,0.742054,0.905418,13.209896,7.187782,6.710893,7.371535,7.729997,8.058509,7.569949,6.498014,6.653681,6.909680
CCNH,cyclin H,2,0.658441,0.904757,22.784189,6.673593,6.846984,7.100270,6.379941,5.883224,6.086053,6.652676,7.442098,6.997497
CD34,CD34 antigen,2,0.887299,0.904533,14.600668,7.363786,7.009653,7.248967,8.313135,8.161893,7.200375,6.658935,6.513809,7.803520
KIAA1893,G protein-regulated inducer of neurite outgrowth 1,1,0.908834,0.903699,4.813806,6.576479,6.715315,6.201592,5.853689,6.031715,7.358809,7.739468,6.658434,6.052814
DGCR7,DiGeorge syndrome critical region gene 7,1,0.722464,0.902155,15.972483,7.133504,7.037430,7.333766,7.968304,7.647756,6.568541,6.424917,6.746264,7.341056
